match_id,home_position,home_played_matches,home_wins,home_draws,home_loses,home_goals_scored,home_goals_conceded,home_goal_difference,home_team_wins_in_last_5_matches,home_team_draws_in_last_5_matches,home_team_loses_in_last_5_matches,home_team_scored_goals_in_last_5_matches,home_team_conceded_goals_in_last_5_matches,away_position,away_played_matches,away_wins,away_draws,away_loses,away_goals_scored,away_goals_conceded,away_goal_difference,away_team_wins_in_last_5_matches,away_team_draws_in_last_5_matches,away_team_loses_in_last_5_matches,away_team_scored_goals_in_last_5_matches,away_team_conceded_goals_in_last_5_matches,result,home_odds,draw_odds,away_odds
18279,6,31,13,10,8,40,29,11,0,4,1,3,4,7,31,14,5,12,47,39,8,1,1,3,4,7,0,2.510,3.040,3.100
18280,18,32,7,5,20,30,55,-25,0,1,4,2,11,17,32,7,13,12,31,37,-6,2,2,1,9,3,0,3.220,3.130,2.410
18281,19,32,5,10,17,24,46,-22,0,2,3,3,7,4,32,14,12,6,45,33,12,1,4,0,6,4,2,4.500,3.230,1.950
18282,2,32,21,6,5,72,33,39,3,2,0,9,2,3,32,15,13,4,41,23,18,4,1,0,10,2,1,1.840,3.620,4.450
18283,16,32,9,8,15,32,48,-16,1,0,4,3,11,10,32,12,7,13,38,38,0,1,2,2,5,6,2,2.340,3.010,3.460
18284,8,32,12,10,10,41,46,-5,1,1,3,3,7,9,32,11,12,9,36,28,8,2,2,1,7,5,2,2.510,3.050,3.100
18285,13,32,9,10,13,43,52,-9,1,1,3,5,9,6,32,15,6,11,51,40,11,4,1,0,7,2,2,2.810,3.490,2.460
18286,14,32,7,14,11,27,37,-10,1,3,1,4,4,12,32,12,5,15,41,46,-5,2,2,1,9,6,1,2.400,3.230,3.100
18287,16,32,9,8,15,34,48,-14,2,2,1,7,7,12,32,10,11,11,38,47,-9,2,1,2,4,9,2,2.380,3.190,3.170
18288,8,32,14,5,13,48,41,7,0,1,4,3,8,20,32,5,9,18,26,51,-25,1,1,3,3,5,0,1.900,3.420,4.360
18289,1,32,21,8,3,60,21,39,5,0,0,11,2,6,32,14,10,8,42,30,12,1,3,1,5,5,0,1.380,4.830,8.760
18290,3,33,15,14,4,43,25,18,4,1,0,11,3,18,33,8,5,20,35,56,-21,1,1,3,7,8,0,1.300,5.390,11.010
18291,17,33,7,13,13,32,42,-10,2,2,1,10,7,13,33,9,10,14,43,54,-11,1,1,3,5,9,1,2.180,3.400,3.380
18292,14,33,7,15,11,27,37,-10,0,4,1,2,3,15,33,9,8,16,32,50,-18,1,0,4,3,11,0,2.600,2.780,3.280
18293,9,33,13,7,13,40,38,2,1,2,2,5,5,10,33,12,10,11,41,48,-7,1,0,4,2,8,1,2.890,3.220,2.550
18294,8,33,12,12,9,38,28,10,3,1,1,8,4,1,33,22,8,3,61,21,40,5,0,0,9,1,2,5.120,3.740,1.710
